Dystans (m),Wysokość (m)
0,99
21.35779945784646,99
42.71559891569292,99
64.07339837353939,99
85.43119783138584,99
106.7889972892323,99.00592041015625
128.14679674707878,99.08543395996094
149.50459620492524,98.98374938964844
170.8623956627717,98.70132446289062
192.22019512061814,98.41889953613281
213.5779945784646,98.136474609375
234.93579403631108,98.23719787597656
256.29359349415756,98.69525909423828
277.651392952004,99.15365600585938
299.00919240985047,99.612060546875
320.3669918676969,99.62296295166016
341.7247913255434,99.62296295166016
363.08259078338983,99.62296295166016
384.4403902412363,99.66348266601562
405.79818969908274,99.7660140991211
427.1559891569292,99.87408447265625
448.5137886147757,99.98767852783203
469.87158807262216,100.252555847168
491.2293875304686,100.5349349975586
512.5871869883151,100.8173217773438
533.9449864461616,100.9549102783203
555.302785904008,100.8234481811523
576.6605853618545,100.6309280395508
598.0183848197009,100.3585739135742
619.3761842775474,99.98492431640625
640.7339837353938,99.1567611694336
662.0917831932403,98.31269836425781
683.4495826510868,97.7582015991211
704.8073821089332,97.25074005126953
726.1651815667797,96.7479019165039
747.5229810246261,96.28518676757812
768.8807804824726,95.77854919433594
790.238579940319,95.19718933105469
811.5963793981655,94.76639556884766
832.9541788560119,94.88406372070312
854.3119783138584,95.02842712402344
875.669777771705,95.49114990234375
897.0275772295514,95.95387268066406
918.3853766873979,96.08446502685547
939.7431761452443,96.23741149902344
961.1009756030908,96.424072265625
982.4587750609372,96.6107406616211
1003.8165745187837,96.79740905761719
1025.1743739766302,97.00553131103516
1046.5321734344766,97.17665100097656
1067.8899728923232,97.14302825927734
1089.2477723501695,97.10941314697266
1110.605571808016,97.07579040527344
1131.9633712658624,97.16865539550781
1153.321170723709,97.61913299560547
1174.6789701815553,97.99634552001953
1196.0367696394019,98.2147445678711
1217.3945690972482,98.07960510253906
1238.7523685550948,98.73716735839844
1260.1101680129411,99.39186096191406
1281.4679674707877,99.99519348144531
1302.825766928634,100.4032211303711
1324.1835663864806,100.4960327148438
1345.541365844327,100.5888442993164
1366.8991653021735,100.6816558837891
1388.25696476002,100.7226943969727
1409.6147642178664,100.7316589355469
1430.972563675713,100.7406311035156
1452.3303631335593,100.9162292480469
1473.688162591406,101.009147644043
1495.0459620492522,101.000617980957
1516.4037615070988,100.9772491455078
1537.7615609649451,100.9537658691406
1559.1193604227917,100.7231140136719
1580.477159880638,100.2865676879883
1601.8349593384846,100
1623.192758796331,100
1644.5505582541775,100
1665.9083577120239,100
1687.2661571698704,100
1708.6239566277168,100
1729.9817560855633,100
1751.33955554341,100
1772.6973550012563,100
1794.0551544591028,99.7118148803711
1815.4129539169492,99.25165557861328
1836.7707533747957,98.79149627685547
1858.128552832642,98.33133697509766
1879.4863522904886,98.13839721679688
1900.844151748335,98.59127807617188
1922.2019512061815,99.0441665649414
1943.559750664028,99.4970474243164
1964.9175501218745,99.9499282836914
1986.2753495797208,100
2007.6331490375674,100
2028.9909484954137,100
2050.3487479532605,100
2071.706547411107,100
2093.064346868953,100
2114.4221463267995,100
2135.7799457846463,100
2157.1377452424927,99.99446868896484
2178.495544700339,99.96615600585938
2199.8533441581853,99.95736694335938
2221.211143616032,99.97799682617188
2242.5689430738785,99.99915313720703
2263.926742531725,100.0203170776367
2285.284541989571,100.0414733886719
2306.642341447418,99.76671600341797
2328.0001409052643,99.33219909667969
2349.3579403631106,98.82011413574219
2370.715739820957,98.30802154541016
2392.0735392788038,97.79593658447266
