Dystans (m),Wysokość (m)
0,16.01108169555664
135.8799894889716,15.29982471466064
271.7599789779432,15.68421745300293
407.6399684669148,17.26489448547363
543.5199579558864,18.01589012145996
679.3999474448581,18.50543785095215
815.2799369338296,17.96338844299316
951.1599264228012,16.81396675109863
1087.0399159117728,10.92128944396973
1222.9199054007445,7.255885124206543
1358.7998948897161,8.310946464538574
1494.6798843786876,6.738518238067627
1630.5598738676592,6.168679237365723
1766.439863356631,7.540163040161133
1902.3198528456023,3.685933351516724
2038.199842334574,1.052749395370483
2174.0798318235456,1
2309.9598213125173,0
2445.839810801489,0.4731901288032532
2581.7198002904606,-0.8469250202178955
2717.5997897794323,-0.0391114316880703
2853.4797792684035,0.8717184066772461
2989.359768757375,1.456649780273438
3125.239758246347,1.720601558685303
3261.1197477353185,1
3396.99973722429,1.014657855033875
3532.879726713262,1
3668.7597162022334,1
3804.6397056912047,0.4457009732723236
3940.5196951801763,0.1052233725786209
4076.399684669148,0.4871399402618408
4212.27967415812,1.13827908039093
4348.159663647091,1
4484.039653136063,0.07705278694629669
4619.919642625035,1
4755.799632114006,1
4891.679621602978,0
5027.55961109195,-1
5163.439600580921,-1
5299.319590069893,-1
5435.199579558865,-0.2977998852729797
5571.079569047835,0
5706.959558536807,0.9759170413017273
5842.839548025779,3.736233949661255
5978.71953751475,4.722137451171875
6114.599527003722,2.255164384841919
6250.479516492694,1.004521250724792
6386.359505981665,0.01702087372541428
6522.239495470637,0.693950355052948
6658.119484959609,3.466507196426392
6793.99947444858,1.42512059211731
6929.879463937552,1
7065.759453426524,2
7201.639442915495,2
7337.519432404467,2.938799142837524
7473.399421893439,3
7609.279411382409,2.960858345031738
7745.159400871381,2
7881.039390360353,2.352663516998291
8016.919379849324,1.982898712158203
8152.799369338296,2.347249746322632
8288.679358827269,1.926196098327637
8424.55934831624,1
8560.439337805212,3.028409719467163
8696.319327294183,3.906132459640503
8832.199316783153,6.787764072418213
8968.079306272126,3.650204420089722
9103.959295761097,1
9239.83928525007,0.21102075278759
9375.71927473904,-1.570076107978821
9511.599264228013,-2.159883975982666
9647.479253716983,-0.115788921713829
9783.359243205956,2.560300588607788
9919.239232694927,3.6294105052948
10055.1192221839,5.203078746795654
10190.99921167287,7.656533718109131
10326.879201161843,6.014859676361084
10462.759190650813,5.43140697479248
10598.639180139786,4.98011302947998
10734.519169628757,4.421404838562012
10870.39915911773,3.220932722091675
11006.2791486067,2.297076940536499
11142.15913809567,2.913854360580444
11278.039127584643,5.276195049285889
11413.919117073614,8.502935409545898
11549.799106562587,7.787690162658691
11685.679096051557,7.728514671325684
11821.55908554053,6.701577186584473
11957.4390750295,6.789679050445557
12093.319064518473,7
12229.199054007444,7.183003902435303
12365.079043496416,6.748515129089355
12500.959032985387,6.004635334014893
12636.83902247436,3.738871335983276
12772.71901196333,4.358087539672852
12908.599001452303,3.804905414581299
13044.478990941274,4.269176483154297
13180.358980430245,4.676284790039062
13316.238969919217,4.687851428985596
13452.118959408188,4.217517375946045
13587.99894889716,4.288851261138916
13723.878938386131,4.722879409790039
13859.758927875104,4.402483940124512
13995.638917364075,5.612423419952393
14131.518906853047,5.719713687896729
14267.398896342018,7.204791069030762
14403.27888583099,10.58618831634521
14539.158875319961,10.00832653045654
14675.038864808934,10.11189079284668
14810.918854297905,12.24699401855469
14946.798843786877,12.28480529785156
15082.678833275848,13.9032154083252
15218.558822764819,14.52739238739014
15354.438812253791,17.33916091918945
15490.318801742762,23.26257514953613
15626.198791231735,27.68798446655273
15762.078780720705,30.05682373046875
15897.958770209678,30.58683395385742
16033.838759698649,31
16169.718749187621,31.19356536865234
16305.598738676592,32.18443298339844
16441.478728165563,32.99349212646484
16577.358717654537,31.91448783874512
16713.238707143508,28.78948211669922
16849.11869663248,24.21706581115723
16984.99868612145,19.9067554473877
17120.878675610424,13.49918079376221
17256.758665099394,11.61180591583252
17392.638654588365,13.39825916290283
17528.518644077336,15.90872669219971
17664.398633566307,16.42082405090332
17800.27862305528,19.8568000793457
17936.15861254425,24.88599014282227
18072.038602033223,28.38107681274414
18207.918591522193,28.00557708740234
18343.798581011168,28.8344554901123
18479.67857050014,29.30760192871094
18615.55855998911,28.25930595397949
18751.43854947808,28.71852111816406
18887.318538967054,31.11960411071777
19023.198528456025,32.54013824462891
19159.078517944996,32.45221710205078
19294.958507433967,32.26221466064453
19430.83849692294,31.13986396789551
19566.71848641191,29.0434398651123
19702.598475900882,25.94887924194336
19838.478465389853,20.73782730102539
19974.358454878824,17.96265983581543
20110.2384443678,13.58930397033691
20246.11843385677,11.92984867095947
20381.99842334574,10.42590713500977
20517.87841283471,9.88693904876709
20653.758402323685,8.797524452209473
20789.638391812656,11
20925.518381301627,12
21061.398370790597,13.46313285827637
21197.27836027957,12.55685615539551
21333.158349768542,11.48612689971924
21469.038339257513,11.11555957794189
21604.918328746484,9.132722854614258
21740.79831823546,4.613261222839355
21876.67830772443,2.312650203704834
22012.5582972134,1
22148.43828670237,1.634048342704773
22284.31827619134,4.719203472137451
22420.198265680316,7.872102737426758
22556.078255169286,7.992545604705811
22691.958244658257,7.073087215423584
22827.838234147228,8.813962936401367
22963.718223636202,7.498373985290527
23099.598213125173,8
23235.478202614144,7.939111709594727
23371.358192103115,8.261109352111816
23507.23818159209,6.681602478027344
23643.11817108106,5.304545402526855
23778.99816057003,5.701103210449219
23914.878150059,7.820879936218262
24050.758139547972,8.455765724182129
24186.638129036946,7.167703628540039
24322.518118525917,8.790827751159668
24458.398108014888,9.114840507507324
24594.27809750386,10
24730.158086992833,7.940336227416992
24866.038076481804,5.054980278015137
25001.918065970774,2.973320007324219
25137.798055459745,3.119827270507812
25273.67804494872,2.35040807723999
25409.55803443769,2
25545.43802392666,2.924647092819214
25681.318013415632,3
25817.198002904606,3
25953.077992393577,4.979841709136963
26088.957981882548,7.771139621734619
26224.83797137152,8.24996566772461
26360.71796086049,9.324136734008789
26496.597950349464,9.403170585632324
26632.477939838434,10.52990531921387
26768.357929327405,11
26904.237918816376,12.22561931610107
27040.11790830535,13.1607084274292
27175.99789779432,13.89276504516602
27311.87788728329,13.9374532699585
27447.757876772263,11
27583.637866261237,11
27719.517855750208,8.74267292022705
27855.39784523918,8.42841911315918
27991.27783472815,8.596526145935059
28127.157824217124,7.844586372375488
28263.037813706094,4.54079532623291
28398.917803195065,2.186560392379761
28534.797792684036,1.850069046020508
28670.677782173007,0.7092138528823853
28806.55777166198,1.991638660430908
28942.43776115095,1.599867343902588
29078.317750639922,0.9914254546165466
29214.197740128893,0.1437888145446777
29350.077729617868,0.6375101208686829
29485.95771910684,0
29621.83770859581,0
29757.71769808478,0.01346969418227673
29893.597687573754,0.8607562184333801
30029.477677062725,3.511440277099609
30165.357666551696,7.131233215332031
30301.237656040666,6.739565372467041
30437.117645529637,6.173975467681885
30572.99763501861,5.820813655853271
30708.877624507582,5.633001327514648
30844.757613996553,5
30980.637603485524,2.931297302246094
31116.5175929745,4.800356388092041
31252.39758246347,2.382528066635132
31388.27757195244,2.875373125076294
31524.15756144141,4.924622535705566
31660.037550930385,6.857921600341797
31795.917540419356,5.04780387878418
31931.797529908326,4.857499599456787
32067.677519397297,5.981285572052002
32203.55750888627,5.739133834838867
32339.437498375242,5.023648262023926
32475.317487864213,6.076245784759521
32611.197477353184,11.00084686279297
32747.077466842155,14.55813694000244
32882.957456331125,17.23924255371094
33018.8374458201,16.47607231140137
33154.717435309074,13.57764911651611
33290.59742479804,11.27010345458984
33426.477414287016,10.71698665618896
33562.35740377598,10.02443790435791
33698.23739326496,10.69239616394043
33834.11738275393,9.380494117736816
33969.9973722429,9.033353805541992
34105.87736173187,9.430864334106445
34241.75735122085,8.117042541503906
34377.637340709814,8
34513.51733019879,8
34649.397319687756,6.59441614151001
34785.27730917673,5.017727851867676
34921.157298665705,6.335740566253662
35057.03728815467,5.68558931350708
35192.917277643646,6.004078388214111
35328.79726713261,6.303503513336182
35464.67725662159,9.162962913513184
35600.55724611056,9.246565818786621
35736.43723559953,8.564138412475586
35872.3172250885,11.00352954864502
36008.19721457748,11.78007793426514
36144.077204066445,11.20251083374023
36279.95719355542,11.92894077301025
36415.83718304439,12.74141788482666
36551.71717253336,13.55179309844971
36687.597162022335,13.02563762664795
36823.4771515113,14.34068393707275
36959.35714100028,13.29627990722656
37095.237130489244,12.46298789978027
37231.11711997822,12.34768199920654
37366.99710946719,8.365228652954102
37502.87709895616,7
37638.757088445134,7.467597007751465
37774.63707793411,7
37910.517067423076,7.358066558837891
38046.39705691205,10.83069229125977
38182.27704640102,14.9231014251709
38318.15703588999,16.24557304382324
38454.037025378966,17.46791648864746
38589.91701486793,16.17398262023926
38725.79700435691,16.23124885559082
38861.67699384588,15.35781288146973
38997.55698333485,14.66018009185791
39133.43697282382,15.9537467956543
39269.31696231279,14.79409694671631
39405.196951801765,13.92329025268555
39541.07694129074,13.13982772827148
39676.95693077971,14
39812.83692026868,14
39948.71690975765,14.40261077880859
40084.59689924662,13.43636989593506
40220.4768887356,14.41694068908691
40356.356878224564,16.05953025817871
40492.23686771354,17.49663162231445
40628.11685720251,20.94078636169434
40763.99684669148,23.20633125305176
40899.876836180454,24.45140647888184
41035.75682566942,24.24773979187012
41171.636815158396,26.1431884765625
41307.51680464737,26.17909240722656
41443.39679413634,26.78880882263184
41579.27678362531,29.93379211425781
41715.15677311428,31.49668312072754
41851.03676260325,32.96885299682617
41986.91675209223,35.05963516235352
42122.796741581195,29.17814254760742
42258.67673107017,29.13879585266113
42394.55672055914,31.3975772857666
42530.43671004811,31.86915588378906
42666.316699537085,34.43601608276367
42802.19668902605,38.34346389770508
42938.076678515026,34.39533615112305
43073.956668004,29.13328170776367
43209.83665749297,24.90975379943848
43345.71664698194,19.77530670166016
43481.59663647092,13.10590934753418
43617.476625959884,10.18989181518555
43753.35661544886,11
43889.236604937825,13.01299381256104
44025.1165944268,15
44160.996583915774,14.16073513031006
44296.87657340474,14.65415096282959
44432.756562893715,15.87176132202148
44568.63655238268,16.20236968994141
44704.51654187166,18.74514198303223
44840.39653136063,18.65512466430664
44976.2765208496,17.34990501403809
45112.15651033857,19.80064964294434
45248.03649982755,19.69238662719727
45383.916489316514,21.08623886108398
45519.79647880549,21.36654853820801
45655.676468294456,20.55408668518066
45791.55645778343,17.45755386352539
45927.436447272405,14.88483810424805
46063.31643676137,17.00404167175293
46199.196426250346,16.05216407775879
46335.07641573931,14.72908020019531
46470.95640522829,14.55114364624023
46606.83639471726,15.43803024291992
46742.71638420623,11.52580642700195
46878.5963736952,12.28285694122314
47014.47636318418,11.98401355743408
47150.356352673145,15.96742248535156
47286.23634216212,19.42927360534668
47422.11633165109,14.84692192077637
47557.99632114006,13.92094612121582
47693.876310629035,13
47829.756300118,12.88179206848145
47965.63628960698,12.46835517883301
48101.516279095944,13.64989280700684
48237.39626858492,15.59153938293457
48373.27625807389,16.08815574645996
48509.15624756286,14.41481399536133
48645.036237051834,14.62442493438721
48780.91622654081,14.08096981048584
48916.796216029776,17.21443557739258
49052.67620551875,15.56292152404785
49188.55619500772,14.03293514251709
49324.43618449669,13.63243198394775
49460.316173985666,14
49596.19616347463,12.99163818359375
49732.07615296361,13.34751605987549
49867.95614245258,14.28983020782471
50003.83613194155,12.17129707336426
50139.71612143052,12
50275.59611091949,9.098244667053223
50411.476100408465,11.00441837310791
50547.35608989744,14.5080623626709
50683.236079386406,16.26993751525879
50819.11606887538,13.52993392944336
50954.99605836435,12.51945400238037
51090.87604785332,15.13482761383057
51226.7560373423,14.76225280761719
51362.636026831264,13.46811008453369
51498.51601632024,14.38199424743652
51634.39600580921,13.57909774780273
51770.27599529818,12.96624183654785
51906.155984787154,11.7312593460083
52042.03597427612,10.78271198272705
52177.915963765096,8.65038013458252
52313.79595325407,7.734899997711182
52449.67594274304,8.43822956085205
52585.55593223201,9.154260635375977
52721.43592172098,10.00030040740967
52857.31591120995,11.01865482330322
52993.19590069893,17.0321159362793
53129.075890187894,19.14107131958008
53264.95587967687,20.63288307189941
53400.83586916584,18.41713333129883
53536.71585865481,14.4064769744873
53672.595848143785,10.31210327148438
53808.47583763275,6.159974098205566
53944.355827121726,7.283520221710205
54080.2358166107,7.000825881958008
54216.11580609967,8.327858924865723
54351.99579558864,6.679470062255859
54487.87578507761,3.992028951644897
54623.75577456658,2.980799674987793
54759.63576405556,1.99196195602417
54895.515753544525,2.905487298965454
55031.3957430335,3.466264724731445
55167.275732522474,3.759822368621826
55303.15572201144,7.201621055603027
55439.035711500415,8.858601570129395
55574.91570098938,13.28438854217529
55710.79569047836,18.54716873168945
55846.67567996733,14.55621814727783
55982.5556694563,6.887792587280273
56118.43565894527,4.768359661102295
56254.31564843425,10.48752307891846
56390.195637923214,11.26053142547607
56526.07562741219,10.02895545959473
56661.955616901156,8.926899909973145
56797.83560639013,5.683112144470215
56933.715595879105,4.64555549621582
57069.59558536807,5.917340755462646
57205.475574857046,11.48738384246826
57341.35556434601,11.76972675323486
57477.23555383499,12.35049057006836
57613.11554332396,7.613037586212158
57748.99553281293,7.496757984161377
57884.8755223019,12.25228786468506
58020.75551179088,14.73520469665527
58156.635501279845,13.95190238952637
58292.51549076882,12.29387950897217
58428.39548025779,12.17570972442627
58564.27546974676,11.55359363555908
58700.155459235735,9.198359489440918
58836.0354487247,8.169047355651855
58971.91543821368,11.21078109741211
59107.795427702644,10.77813625335693
59243.67541719162,14.16670513153076
59379.55540668059,10.87032890319824
59515.43539616956,13.66762828826904
59651.315385658534,20.67210578918457
59787.19537514751,22.52832221984863
59923.075364636476,14.06893825531006
60058.95535412545,9.793526649475098
60194.83534361442,11.62821769714355
60330.71533310339,7.186170101165771
60466.595322592366,6.492619037628174
60602.47531208133,6.45130729675293
60738.35530157031,4
60874.235291059274,3.392968416213989
61010.11528054825,3.310986995697021
61145.99527003722,3.792128801345825
61281.87525952619,4.225296020507812
61417.755249015165,3.708137512207031
61553.63523850414,4.327323913574219
61689.515227993106,4.347944736480713
61825.39521748208,2
61961.27520697105,2
62097.15519646002,2
62233.035185949,2.16210675239563
62368.91517543796,2.214072227478027
62504.79516492694,0.8077197074890137
62640.67515441591,0.5496819615364075
62776.55514390488,0
62912.435133393854,2
63048.31512288282,2
63184.195112371795,0.383668065071106
63320.07510186077,0.5137452483177185
63455.95509134974,0.667266845703125
63591.83508083871,0.1219252794981003
63727.71507032768,0
63863.59505981665,0
63999.47504930563,0
64135.355038794594,-0.4474991858005524
64271.23502828357,-0.2779580056667328
64407.11501777254,-0.2136256247758865
64542.99500726151,-0.4814322590827942
64678.874996750485,-1.070913910865784
64814.75498623945,-1.722361922264099
64950.634975728426,0
65086.5149652174,-0.4522712826728821
65222.39495470637,-1
65358.27494419534,-1.762264966964722
65494.15493368431,-0.1891444772481918
65630.03492317328,0
65765.91491266225,1.692875266075134
65901.79490215123,1.493773221969604
66037.6748916402,1.010412812232971
66173.55488112917,0.9632313847541809
66309.43487061815,2.836256742477417
66445.31486010712,5.435925483703613
66581.19484959608,8.453664779663086
66717.07483908506,9.243368148803711
66852.95482857403,7.949284553527832
66988.834818063,6.427242279052734
67124.71480755197,6
67260.59479704095,6
67396.47478652991,6.415116310119629
67532.35477601888,8
67668.23476550786,8.926794052124023
67804.11475499683,8
67939.9947444858,7.069447994232178
68075.87473397478,6.693257331848145
68211.75472346375,6.787678718566895
68347.63471295271,5.231444835662842
68483.5147024417,5.251462459564209
68619.39469193066,3.904418468475342
68755.27468141963,2.786594390869141
68891.1546709086,1
69027.03466039758,0.3933631479740143
69162.91464988654,1.150014400482178
69298.79463937551,1
69434.6746288645,1.385052680969238
