Dystans (m),Wysokość (m)
0,406.6556396484375
48.23722392134796,404.8274841308594
96.47444784269592,404.3836669921875
144.7116717640439,404.736572265625
192.94889568539185,406.00830078125
241.1861196067398,409.358154296875
289.4233435280878,412.7410888671875
337.66056744943575,415.8221130371094
385.8977913707837,419.9930114746094
434.13501529213164,424.4608154296875
482.3722392134796,426.2506408691406
530.6094631348276,428.3896789550781
578.8466870561756,430.5386352539062
627.0839109775235,432.3735046386719
675.3211348988715,435.6893005371094
723.5583588202194,439.1249084472656
771.7955827415674,442.3442687988281
820.0328066629154,445.2021484375
868.2700305842633,448.2572021484375
916.5072545056113,451.959716796875
964.7444784269592,455.9687194824219
1012.9817023483072,459.4097595214844
1061.2189262696552,462.4692687988281
1109.4561501910032,465.5518188476562
1157.6933741123512,468.6621704101562
1205.930598033699,471.0987243652344
1254.167821955047,474.2694396972656
1302.405045876395,478.2506103515625
1350.642269797743,482.2317504882812
1398.879493719091,485.7818603515625
1447.1167176404388,487.763671875
1495.3539415617868,489.5797424316406
1543.5911654831348,491.1135559082031
1591.8283894044828,493.6005859375
1640.0656133258308,496.7388916015625
1688.3028372471786,500.2090454101562
1736.5400611685266,503.3442687988281
1784.7772850898746,506.2991027832031
1833.0145090112226,509.3388977050781
1881.2517329325706,513.4199829101562
1929.4889568539184,518.44091796875
1977.7261807752664,522.3484497070312
2025.9634046966144,527.2533569335938
2074.200628617962,534.7898559570312
2122.4378525393104,540.5780639648438
2170.675076460658,545.6610107421875
2218.9123003820064,550.4589233398438
2267.149524303354,555.7763061523438
2315.3867482247024,561.3524780273438
2363.62397214605,567.5237426757812
2411.861196067398,573.7625122070312
2460.098419988746,581.8076782226562
2508.335643910094,589.9107666015625
2556.572867831442,596.5245361328125
2604.81009175279,600.76025390625
2653.0473156741377,604.2584228515625
2701.284539595486,606.2650146484375
2749.5217635168337,609.7205200195312
2797.758987438182,614.4888305664062
2845.9962113595298,619.4012451171875
2894.2334352808775,623.5603637695312
2942.4706592022258,627.3788452148438
2990.7078831235735,631.624755859375
3038.9451070449218,635.4852905273438
3087.1823309662695,637.484619140625
3135.4195548876173,639.8820190429688
3183.6567788089656,645.3646240234375
3231.8940027303133,652.6614379882812
3280.1312266516616,657.5362548828125
3328.3684505730093,658.9695434570312
3376.605674494357,659.2756958007812
3424.8428984157053,660.4297485351562
3473.080122337053,661.954833984375
3521.3173462584014,665.5098876953125
3569.554570179749,667.180419921875
3617.791794101097,666.6885986328125
3666.029018022445,665.5248413085938
3714.266241943793,665.118896484375
3762.503465865141,664.8192138671875
3810.740689786489,665.7003784179688
3858.9779137078367,665.8467407226562
3907.215137629185,666.5296630859375
3955.4523615505327,667.8575439453125
4003.689585471881,667.8507690429688
4051.9268093932287,670.27392578125
4100.164033314577,671.7914428710938
4148.401257235924,675.1148071289062
4196.6384811572725,680.1588134765625
4244.875705078621,683.5938720703125
4293.112928999969,686.4344482421875
4341.350152921316,690.62158203125
4389.5873768426645,693.9769897460938
4437.824600764013,695.6990966796875
4486.06182468536,696.0858154296875
4534.299048606708,693.9609985351562
4582.5362725280565,692.4835205078125
4630.773496449405,691.971435546875
4679.010720370752,691.952392578125
4727.2479442921,691.6487426757812
4775.485168213449,692.3699951171875
4823.722392134796,695.0211181640625
4871.959616056144,697.8607177734375
4920.196839977492,699
4968.43406389884,697.9000244140625
5016.671287820188,694.9039916992188
5064.908511741536,691.4549560546875
5113.145735662884,687.671875
5161.382959584232,684.3118896484375
